dataset,method,tlb
WormsTwoClass,SAX,0.2883969428528328
OSULeaf,SAX,0.2900703976305014
FacesUCR,SAX,0.0159743218690235
GestureMidAirD1,SAX,0.3636200706996599
GestureMidAirD2,SAX,0.3891061448561194
GestureMidAirD3,SAX,0.3798886919221292
Phoneme,SAX,0.0074538416850434
InsectWingbeatSound,SAX,0.1376816888089621
Computers,SAX,0.2017217655298526
WordSynonyms,SAX,0.2760960333566503
SyntheticControl,SAX,0.2967799600276827
SemgHandGenderCh2,SAX,0.0109157050011399
AllGestureWiimoteX,SAX,0.2923638271274036
AllGestureWiimoteY,SAX,0.3102376112889923
AllGestureWiimoteZ,SAX,0.2982897304539427
Yoga,SAX,0.2765566756180256
Earthquakes,SAX,0.0049120381934911
EOGHorizontalSignal,SAX,0.3076629104206634
EOGVerticalSignal,SAX,0.2694680633985269
LargeKitchenAppliances,SAX,0.1580097019678605
RefrigerationDevices,SAX,0.0235040822920546
ScreenType,SAX,0.2116914064836839
SmallKitchenAppliances,SAX,0.0080853429276656
MedicalImages,SAX,0.1262662251981531
CricketX,SAX,0.2678511184638733
CricketY,SAX,0.2731680471945044
CricketZ,SAX,0.2678630061687153
Adiac,SAX,0.0027117794067702
MiddlePhalanxTW,SAX,0.0018083182640144
DistalPhalanxOutlineAgeGroup,SAX,0.0018552875695732
DistalPhalanxTW,SAX,0.0018552875695732
MiddlePhalanxOutlineAgeGroup,SAX,0.0018050541516245
ProximalPhalanxOutlineAgeGroup,SAX,0.0016528925619834
ProximalPhalanxTW,SAX,0.0016528925619834
SemgHandMovementCh2,SAX,0.0109157050011399
SemgHandSubjectCh2,SAX,0.0109157050011399
FiftyWords,SAX,0.2817050368047732
ChlorineConcentration,SAX,0.0237424528409659
SwedishLeaf,SAX,0.1330437593098639
MixedShapesRegularTrain,SAX,0.2941780276714106
ECG5000,SAX,0.1088276087367214
EthanolLevel,SAX,0.0009960159362549
PLAID,SAX,0.1349801558606543
FaceAll,SAX,0.0210662146481934
DistalPhalanxOutlineCorrect,SAX,0.0070227132878158
MiddlePhalanxOutlineCorrect,SAX,0.0011223344556677
ProximalPhalanxOutlineCorrect,SAX,0.0011223344556677
ShapesAll,SAX,0.3397645682041108
Strawberry,SAX,0.0057552545293469
UWaveGestureLibraryAll,SAX,0.2618483093020275
UWaveGestureLibraryX,SAX,0.3824492841743991
UWaveGestureLibraryY,SAX,0.382050989191986
UWaveGestureLibraryZ,SAX,0.3770886514692957
HandOutlines,SAX,0.0069888362699162
TwoPatterns,SAX,0.2511063799133131
Wafer,SAX,0.297484581291812
StarLightCurves,SAX,0.2148140480354842
MelbournePedestrian,SAX,0.171785287890515
PhalangesOutlinesCorrect,SAX,0.0024870303503837
NonInvasiveFetalECGThorax1,SAX,0.0122893378330296
NonInvasiveFetalECGThorax2,SAX,0.0157432153438321
FordA,SAX,0.0002032107295265
FordB,SAX,0.0002249212775528
Crop,SAX,0.3286075691149448
ElectricDevices,SAX,0.125395629614027
