method,metric,dataset,acc
SAX,cosine_similarity,SwedishLeaf,0.4688
SAX,cosine_similarity,Symbols,0.7909547738693468
SAX,cosine_similarity,SyntheticControl,0.7166666666666667
SAX,cosine_similarity,ToeSegmentation1,0.6666666666666666
SAX,cosine_similarity,ToeSegmentation2,0.8
SAX,cosine_similarity,Trace,0.72
SAX,cosine_similarity,TwoLeadECG,0.7936786654960492
SAX,cosine_similarity,TwoPatterns,0.51375
SAX,cosine_similarity,UMD,0.7916666666666666
SAX,cosine_similarity,UWaveGestureLibraryAll,0.4293690675600223
SAX,cosine_similarity,UWaveGestureLibraryX,0.3930764935790061
SAX,cosine_similarity,UWaveGestureLibraryY,0.4120603015075377
SAX,cosine_similarity,UWaveGestureLibraryZ,0.4106644332774986
SAX,cosine_similarity,Wafer,0.9892926670992862
SAX,cosine_similarity,Wine,0.7962962962962963
SAX,cosine_similarity,WordSynonyms,0.2288401253918495
SAX,cosine_similarity,Worms,0.5454545454545454
SAX,cosine_similarity,WormsTwoClass,0.6883116883116883
SAX,cosine_similarity,Yoga,0.5693333333333334
SAX,kl,ACSF1,0.57
SAX,kl,Adiac,0.2046035805626598
SAX,kl,AllGestureWiimoteX,0.1942857142857142
SAX,kl,AllGestureWiimoteY,0.1714285714285714
SAX,kl,AllGestureWiimoteZ,0.1857142857142857
SAX,kl,ArrowHead,0.2571428571428571
SAX,kl,Beef,0.4666666666666667
SAX,kl,BeetleFly,0.75
SAX,kl,BirdChicken,0.6
SAX,kl,BME,0.4866666666666667
SAX,kl,Car,0.2
SAX,kl,CBF,0.6577777777777778
SAX,kl,Chinatown,0.8688046647230321
SAX,kl,ChlorineConcentration,0.61796875
SAX,kl,CinCECGTorso,0.5239130434782608
SAX,kl,Coffee,0.6428571428571429
SAX,kl,Computers,0.684
SAX,kl,CricketX,0.1205128205128205
SAX,kl,CricketY,0.1384615384615384
SAX,kl,CricketZ,0.0974358974358974
SAX,kl,Crop,0.4747023809523809
SAX,kl,DiatomSizeReduction,0.8627450980392157
SAX,kl,DistalPhalanxOutlineAgeGroup,0.60431654676259
SAX,kl,DistalPhalanxOutlineCorrect,0.5905797101449275
SAX,kl,DistalPhalanxTW,0.5467625899280576
SAX,kl,DodgerLoopDay,0.2
SAX,kl,DodgerLoopGame,0.4927536231884058
SAX,kl,DodgerLoopWeekend,0.5942028985507246
SAX,kl,Earthquakes,0.6546762589928058
SAX,kl,ECG200,0.64
SAX,kl,ECG5000,0.7655555555555555
SAX,kl,ECGFiveDays,0.6957026713124274
SAX,kl,ElectricDevices,0.597328491765011
SAX,kl,EOGHorizontalSignal,0.0690607734806629
SAX,kl,EOGVerticalSignal,0.0828729281767955
SAX,kl,EthanolLevel,0.27
SAX,kl,FaceAll,0.3278106508875739
SAX,kl,FaceFour,0.4204545454545454
SAX,kl,FacesUCR,0.3663414634146341
SAX,kl,FiftyWords,0.1252747252747252
SAX,kl,Fish,0.28
SAX,kl,FordA,0.6348484848484849
SAX,kl,FordB,0.5901234567901235
SAX,kl,FreezerRegularTrain,0.5512280701754386
SAX,kl,FreezerSmallTrain,0.5291228070175439
SAX,kl,Fungi,0.1075268817204301
SAX,kl,GestureMidAirD1,0.3076923076923077
SAX,kl,GestureMidAirD2,0.2230769230769231
SAX,kl,GestureMidAirD3,0.1461538461538461
SAX,kl,GesturePebbleZ1,0.2151162790697674
SAX,kl,GesturePebbleZ2,0.2658227848101265
SAX,kl,GunPoint,0.6733333333333333
SAX,kl,GunPointAgeSpan,0.6424050632911392
SAX,kl,GunPointMaleVersusFemale,0.6582278481012658
SAX,kl,GunPointOldVersusYoung,0.6317460317460317
SAX,kl,Ham,0.5333333333333333
SAX,kl,HandOutlines,0.5594594594594594
SAX,kl,Haptics,0.2694805194805195
SAX,kl,Herring,0.59375
SAX,kl,HouseTwenty,0.8823529411764706
SAX,kl,InlineSkate,0.249090909090909
SAX,kl,InsectEPGRegularTrain,0.6224899598393574
SAX,kl,InsectEPGSmallTrain,0.7309236947791165
SAX,kl,InsectWingbeatSound,0.1787878787878788
SAX,kl,ItalyPowerDemand,0.901846452866861
SAX,kl,LargeKitchenAppliances,0.6373333333333333
SAX,kl,Lightning2,0.5901639344262295
SAX,kl,Lightning7,0.273972602739726
SAX,kl,Mallat,0.5978678038379531
SAX,kl,Meat,0.6833333333333333
SAX,kl,MedicalImages,0.4710526315789474
SAX,kl,MelbournePedestrian,0.6814268142681427
SAX,kl,MiddlePhalanxOutlineAgeGroup,0.4805194805194805
SAX,kl,MiddlePhalanxOutlineCorrect,0.5807560137457045
SAX,kl,MiddlePhalanxTW,0.435064935064935
SAX,kl,MixedShapesRegularTrain,0.4672164948453608
SAX,kl,MixedShapesSmallTrain,0.4457731958762886
SAX,kl,MoteStrain,0.7212460063897763
SAX,kl,NonInvasiveFetalECGThorax1,0.0590330788804071
SAX,kl,NonInvasiveFetalECGThorax2,0.0671755725190839
SAX,kl,OliveOil,0.4
SAX,kl,OSULeaf,0.4256198347107438
SAX,kl,PhalangesOutlinesCorrect,0.6282051282051282
SAX,kl,Phoneme,0.1904008438818565
SAX,kl,PickupGestureWiimoteZ,0.4
SAX,kl,PigAirwayPressure,0.1971153846153846
SAX,kl,PigArtPressure,0.5961538461538461
SAX,kl,PigCVP,0.1971153846153846
SAX,kl,PLAID,0.5400372439478585
SAX,kl,Plane,0.8857142857142857
SAX,kl,PowerCons,0.7944444444444444
SAX,kl,ProximalPhalanxOutlineAgeGroup,0.8146341463414634
SAX,kl,ProximalPhalanxOutlineCorrect,0.7594501718213058
SAX,kl,ProximalPhalanxTW,0.6195121951219512
SAX,kl,RefrigerationDevices,0.4826666666666667
SAX,kl,Rock,0.54
SAX,kl,ScreenType,0.4506666666666666
SAX,kl,SemgHandGenderCh2,0.46
SAX,kl,SemgHandMovementCh2,0.1711111111111111
SAX,kl,SemgHandSubjectCh2,0.24
SAX,kl,ShakeGestureWiimoteZ,0.42
SAX,kl,ShapeletSim,0.7166666666666667
SAX,kl,ShapesAll,0.1866666666666666
SAX,kl,SmallKitchenAppliances,0.7066666666666667
SAX,kl,SmoothSubspace,0.6266666666666667
SAX,kl,SonyAIBORobotSurface1,0.6039933444259568
SAX,kl,SonyAIBORobotSurface2,0.8551941238195173
SAX,kl,StarLightCurves,0.7126032054395337
SAX,kl,Strawberry,0.8135135135135135
SAX,kl,SwedishLeaf,0.4064
SAX,kl,Symbols,0.7768844221105528
SAX,kl,SyntheticControl,0.7766666666666666
SAX,kl,ToeSegmentation1,0.7105263157894737
SAX,kl,ToeSegmentation2,0.6384615384615384
SAX,kl,Trace,0.71
SAX,kl,TwoLeadECG,0.8235294117647058
SAX,kl,TwoPatterns,0.41975
SAX,kl,UMD,0.5972222222222222
SAX,kl,UWaveGestureLibraryAll,0.3199329983249581
SAX,kl,UWaveGestureLibraryX,0.3065326633165829
SAX,kl,UWaveGestureLibraryY,0.3336125069793411
SAX,kl,UWaveGestureLibraryZ,0.3230039084310441
SAX,kl,Wafer,0.982154445165477
SAX,kl,Wine,0.7037037037037037
SAX,kl,WordSynonyms,0.1598746081504702
SAX,kl,Worms,0.4935064935064935
SAX,kl,WormsTwoClass,0.6493506493506493
SAX,kl,Yoga,0.5166666666666667
SFA,hist_euclidean,ACSF1,0.4
